comarca,serventia,n_observacoes,n_treino,n_teste,mae_cv,mae_teste,rmse_teste,melhores_params,top_features
SENADOR CANEDO,"2ª Vara Criminal (Crimes em geral, Crimes dolosos contra a vida e Presidência do Tribunal do Júri e Crimes envolvendo Violência Doméstica)",1020,1017,3,1.5532084173620104,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}","[('diff_1', 0.2917791), ('diff_12', 0.28736725), ('tendencia', 0.11467651), ('media_movel_12', 0.07894437), ('lag_12', 0.06872263)]"
NERÓPOLIS,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",1032,1029,3,1.1520739060786735,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 1.0}","[('diff_12', 0.32467246), ('diff_1', 0.278525), ('lag_1', 0.11153195), ('lag_12', 0.100628816), ('media_movel_3', 0.07000575)]"
TRIBUNAL DE JUSTIÇA,GABINETE DES. IVO FAVARO,61,58,3,8.334808049254947,17.54071807861328,18.364820102083414,"{'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}","[('diff_12', 0.6420327), ('tendencia', 0.15730383), ('media_movel_12', 0.07802824), ('std_movel_3', 0.04075014), ('lag_1', 0.019008098)]"
ITABERAÍ,"Vara Criminal (crimes em geral, crimes dolosos contra a vida e Pres. do Trib. do Júri execução penal) e Juizado Especial Criminal.",1000,997,3,1.2056641378747412,0.0073089599609375,0.0073089599609375,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 0.9}","[('diff_1', 0.38399103), ('diff_12', 0.23495868), ('ano', 0.12398416), ('lag_1', 0.08239456), ('lag_12', 0.07943044)]"
APARECIDA DE GOIÂNIA,6ª Vara Cível,1068,1065,3,0.37480989686782723,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 1.0}","[('diff_12', 0.4069062), ('diff_1', 0.21321648), ('lag_1', 0.13911156), ('lag_12', 0.12951721), ('media_movel_12', 0.047871888)]"
CATALÃO,1º Juizado Especial Cível e Criminal,435,432,3,5.687322764502631,0.35779571533203125,0.35779571533203125,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.9}","[('tendencia', 0.38276768), ('media_movel_6', 0.17295164), ('ano', 0.09328108), ('tendencia_quad', 0.091455214), ('diff_1', 0.052385252)]"
SÃO LUÍS DE MONTES BELOS,Vara Cível e Juizado Especial Cível,1001,998,3,1.2273071792786383,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}","[('diff_12', 0.35351816), ('diff_1', 0.23888966), ('lag_12', 0.12960465), ('lag_1', 0.119940355), ('media_movel_12', 0.061840907)]"
TRIBUNAL DE JUSTIÇA,GABINETE DES. GILBERTO MARQUES FILHO,172,169,3,11.233999481896339,3.8067804972330728,5.006725691194627,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8}","[('tendencia', 0.44176462), ('media_movel_12', 0.20338055), ('tendencia_quad', 0.12711956), ('media_movel_3', 0.08012643), ('diff_12', 0.044129916)]"
TRIBUNAL DE JUSTIÇA,GABINETE DES. ALEXANDRE DE MORAIS KAFURI,89,86,3,10.625957588876997,26.872479756673176,27.422877395342738,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0}","[('media_movel_12', 0.36461258), ('tendencia', 0.18964994), ('media_movel_6', 0.114037424), ('lag_4', 0.09876121), ('lag_5', 0.07583985)]"
GOIÂNIA,23ª Vara Cível,1022,1019,3,0.7696291182478502,0.006256103515625,0.006256103515625,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}","[('diff_12', 0.2899334), ('diff_1', 0.24615903), ('lag_12', 0.11317127), ('lag_1', 0.10387452), ('media_movel_12', 0.06975219)]"
GOIÂNIA,5ª Vara da Fazenda Pública Municipal e de Registros Públicos – Execução Fiscal,1021,1018,3,0.9430966304801622,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0}","[('diff_12', 0.53826296), ('diff_1', 0.2775861), ('lag_12', 0.041283593), ('lag_1', 0.039278653), ('lag_5', 0.01970007)]"
GOIÂNIA,13ª Vara Cível e Ambiental,1068,1065,3,0.7512420792229431,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 1.0}","[('diff_12', 0.3591519), ('diff_1', 0.18426359), ('lag_12', 0.124760054), ('lag_1', 0.08986416), ('media_movel_12', 0.07383834)]"
GOIÂNIA,Auditoria Militar,599,596,3,2.725728504527699,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 0.8}","[('diff_12', 0.2637777), ('diff_1', 0.18691821), ('tendencia', 0.1138194), ('media_movel_12', 0.095143974), ('lag_1', 0.09288377)]"
GOIÂNIA,31ª Vara Cível,831,828,3,0.7812204572152404,0.0,0.0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 1.0}","[('diff_12', 0.35207593), ('diff_1', 0.30950615), ('lag_12', 0.14154565), ('lag_1', 0.13619542), ('media_movel_12', 0.015157468)]"
GOIÂNIA,2ª Vara da Fazenda Pública Estadual,864,861,3,0.8658197234894012,0.04895782470703125,0.04895782470703125,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.9, 'colsample_bytree': 0.9}","[('diff_1', 0.41831723), ('diff_12', 0.32879454), ('lag_1', 0.06079436), ('lag_12', 0.060603067), ('ano', 0.030469159)]"
JARAGUÁ,Vara das Fazendas Públicas e Registro Público e de Família e Sucessões,725,722,3,2.4959103622436523,0.0153961181640625,0.0153961181640625,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.9}","[('diff_12', 0.25831383), ('diff_1', 0.17968944), ('lag_12', 0.13094677), ('tendencia', 0.12285817), ('lag_1', 0.11883581)]"
